PERSON_ID,AGE,NETWORK,STATUS,ACCOUNTS,REG_FOCUS,AVAILABILITY
0,15,23,1,6,0.44219003004658886,"[0, 0]"
1,15,21,1,6,0.08396192044271633,"[0, 0]"
2,15,23,1,6,0.41313449723017215,"[0, 0]"
3,15,20,1,8,0.8381043789410729,"[0, 0]"
4,15,29,1,5,0.5980010301602353,"[0, 0]"
5,15,30,1,8,0.7812495158611359,"[0, 0]"
6,15,27,1,8,0.8353140380770161,"[0, 0]"
7,15,19,1,5,0.7810358822387735,"[0, 0]"
8,15,23,1,8,0.8195418668145736,"[0, 0]"
9,15,18,1,8,0.026008332564050884,"[0, 0]"
10,15,27,1,6,0.4514163034992892,"[0, 0]"
11,15,24,1,7,0.3606915061975291,"[0, 0]"
12,15,27,1,7,0.7048965606488696,"[0, 0]"
13,15,23,1,5,0.45184055588960803,"[0, 0]"
14,15,23,1,7,0.10428464966333861,"[0, 0]"
15,15,24,1,6,0.475550988970194,"[0, 0]"
16,15,23,1,8,0.3673551767372044,"[0, 0]"
17,15,21,1,8,0.16256225470618324,"[0, 0]"
18,15,20,1,5,0.1677561659642841,"[0, 0]"
19,15,28,1,7,0.3922021838754767,"[0, 0]"
20,15,25,1,6,0.8078427956903796,"[0, 0]"
21,15,17,1,8,0.9307212372362154,"[0, 0]"
22,15,24,1,4,0.5847716405378068,"[0, 0]"
23,15,26,1,6,0.04107885933731592,"[0, 0]"
24,15,26,1,6,0.41812976845748384,"[0, 0]"
25,15,21,1,7,0.2317698411628658,"[0, 0]"
26,15,24,1,6,0.5927552050574314,"[0, 0]"
27,15,21,1,8,0.5795189743069366,"[0, 0]"
28,15,25,1,6,0.9330057701708212,"[0, 0]"
29,15,20,1,8,0.9488902191910532,"[0, 0]"
30,15,26,1,5,0.49458964050314047,"[0, 0]"
31,15,22,1,6,0.7078195220764015,"[0, 0]"
32,15,25,1,7,0.6076940378107805,"[0, 0]"
33,15,23,1,6,0.5150942247867047,"[0, 0]"
34,15,33,1,8,0.249275645492533,"[0, 0]"
35,15,22,1,7,0.852162366297312,"[0, 0]"
36,15,28,1,6,0.7063567701770871,"[0, 0]"
37,15,22,1,7,0.3984758768673061,"[0, 0]"
38,15,27,1,9,0.8482787751866717,"[0, 0]"
39,15,25,1,6,0.1330431757902205,"[0, 0]"
40,15,24,1,7,0.39689819955243644,"[0, 0]"
41,15,21,1,8,0.0165440289128711,"[0, 0]"
42,15,22,1,6,0.3514778691833903,"[0, 0]"
43,15,22,1,6,0.9479224846805367,"[0, 0]"
44,15,25,1,5,0.9175128702550918,"[0, 0]"
45,15,23,1,7,0.8826660473214291,"[0, 0]"
46,15,27,1,7,0.569750519317921,"[0, 0]"
47,15,21,1,8,0.3331623890789558,"[0, 0]"
48,15,20,1,7,0.2081410882924849,"[0, 0]"
49,15,25,1,7,0.6575790510772765,"[0, 0]"
50,15,20,1,5,0.8205565058347146,"[0, 0]"
51,15,27,1,6,0.7729868148850405,"[0, 0]"
52,15,18,1,7,0.4910504835802373,"[0, 0]"
53,15,26,1,7,0.5319100166588875,"[0, 0]"
54,15,24,1,4,0.7914612999034154,"[0, 0]"
55,15,20,1,6,0.1831910717957026,"[0, 0]"
56,15,26,1,6,0.25173230809467506,"[0, 0]"
57,15,23,1,5,0.42729322726499563,"[0, 0]"
58,15,29,1,8,0.5775090199572501,"[0, 0]"
59,15,25,1,6,0.2128325687569217,"[0, 0]"
60,15,26,1,6,0.3014209141127414,"[0, 0]"
61,15,25,1,6,0.91222388968529,"[0, 0]"
62,15,18,1,7,0.9566825864479849,"[0, 0]"
63,15,19,1,7,0.33032487032894264,"[0, 0]"
64,15,28,1,8,0.1484849920815583,"[0, 0]"
65,15,19,1,8,0.9609889351466354,"[0, 0]"
66,15,23,1,7,0.3053999113199344,"[0, 0]"
67,15,23,1,6,0.48561305933539733,"[0, 0]"
68,15,25,1,8,0.24116041054318993,"[0, 0]"
69,15,24,1,6,0.12897790635058648,"[0, 0]"
70,15,20,1,8,0.8769702480995333,"[0, 0]"
71,15,31,1,7,0.940068425770878,"[0, 0]"
72,15,20,1,7,0.5441387720814317,"[0, 0]"
73,15,27,1,8,0.5276154763221034,"[0, 0]"
74,15,26,1,7,0.1388786970703343,"[0, 0]"
75,15,25,1,6,0.6698757769581016,"[0, 0]"
